Name,Ticker,Price,Last Filing,Market Cap ($M),Revenue Growth,Gross Margin,LTM FCF,LTM FCF %,Rule of 40 (LTM FCF),Rule of 40 (Quarter FCF),EV / Revenue Run Rate,EV / LTM Revenue,EV / NTM Revenue,EV / 2020 Revenue,EV / 2021 Revenue,EV / 2022 Revenue,EV / 2023 Revenue,EV / 2021 Gross Profit,EV / NTM Gross Profit,Net Dollar Retention,Quarter FCF,Quarter FCF %,LTM Free Cash Flow Growth %,EBITDA,EBITDA %,LTM EBITDA,EV / LTM EBITDA,Quarter Magic Number,LTM CAC Ratio,Current CAC Ratio,LTM Mean Payback Period,Quarter CAC Payback Period,Implied 5yr LTV ($K),Implied CAC,Implied 5yr LTV/CAC,ARR Per Customer ($K),ARR / Employee ($K),Annualized Opex / Employee,Run Rate/Employees,R&D %,G&A %,S&M %,Annualized Revenue Run Rate ($M),ARR Type,ARR ($M),ARR Growth,Growth Persistence,Last Year Quarter Growth,Operating Income %,Rule of 40 (Op In Margin),2020 Revenue,2021 Analyst Revenue Estimates,US Revenue %,Last Year Run Rate ($M),LTM Revenue ($M),LTM Revenue Growth,NTM Revenue Growth,NTM Revenue Updated,EV / LTM Free Cash Flow,Enterprise Value,Total Cash,Net Cash,Consensus Revenue (Mean),Consensus Revenue Beat (Mean),Founding Year,IPO Year,Multiple on IPO,% of 52 Week High,Last Reported Employees,Earnings Link
Zoom Video,ZM,"$346.50","2021-04-30","$102,095","191%","72%","$1,593","49%","240%","239%","25.5x","29.7x","23.5x","36.7x","25.2x","20.6x","18.4x","34.8x","32.6x",,"$454,228","48%","355%","236,975","25%","896,956","108.7x","1.4","3.1","1.0","3.9","12.0",,"7157.8",,"7","755","367.0","756.0","7%","16%","26%","$3,824","Revenue * 4","$3,824",,"113%","169%","24%","215%","$2,651","$3,868","66%","$1,312","$3,279","296%","26%","2021-06-05","61.1x","$97,405","$4,690",,"905,235","6%","2011","2019","5.3x","61%","5059",https://www.sec.gov/Archives/edgar/data/1585521/000158552121000131/zm-20210430.htm
Snowflake,SNOW,"$248.80","2021-04-30","$72,497","110%","57%","$-62","-9%","102%","116%","74.9x","96.3x","54.5x","115.8x","64.3x","39.3x","25.0x","111.9x","94.8x","168%","$12,944","6%",,"-200,911","-88%","-640,141",,"1.0","0.6","0.6","20.2","20.9","6,149","391984.7","15.7","201",,,,"48%","26%","73%","$915","Revenue * 4","$915","110%","74%","149%","-90%","21%","$592","$1,066",,"$435","$712","116%","77%","2021-06-02","-1105.9x","$68,566","$3,930",,"211,164","8%",,"2020","10.5x","61%",,
Shopify,SHOP,"$1,231.10","2021-03-31","$150,845","110%","57%","$615","18%","128%","124%","36.2x","41.5x","30.8x","48.8x","32.8x","24.8x","18.5x","58.1x","54.5x",,"$130,495","13%",,"134,699","14%","353,779","405.0x","0.3","1.8","0.2","6.7","75.3",,,,,,,,"18%","7%","19%","$3,954","Reported ARR","$1,079","62%","237%","47%","12%","122%","$2,929","$4,355",,"$1,880","$3,448","100%","35%","2021-06-08","232.5x","$142,973","$7,872",,"855,164","16%","2004","2015","44.0x","84%",,https://www.sec.gov/Archives/edgar/data/1594805/000159480521000021/exhibit992mdaq12021.htm
Monday.com,MNDY,"$178.87","2021-03-31","$2,227","85%","87%",,,,"76%","8.9x","11.2x",,"13.1x",,,,,,"107%","$-5,262","-9%",,"-37,300","-63%","-37,300",,"0.6","0.5","0.5","24.7","22.3",,,,,"294","445.0","295.0","26%","17%","107%","$235","Revenue * 4","$235","85%",,,"-64%","21%","$161",,,"$127","$188","96%",,,,"$2,103","$124",,,,,,,"100%","799",https://www.sec.gov/Archives/edgar/data/0001845338/000110465921067423/tm211978-4_f1.htm
UI Path,PATH,"$74.03","2021-01-31","$38,433","81%","90%","$25","4%","85%","84%","45.7x","62.6x","46.5x","62.6x",,"36.3x",,,"51.5x","145%","$6,496","3%",,,,,,"2.4","1.2","2.2","10.2","5.5","1,255",,,"72","202","241.0","290.0","14%","21%","48%","$831","Reported ARR","$580","65%",,,"7%","88%","$607",,,"$459","$607","81%","35%","2021-06-05","1518.9x","$37,972","$461",,,,,,,"87%","2863",https://www.sec.gov/Archives/edgar/data/0001734722/000119312521120347/d98556ds1a.htm
Crowdstrike,CRWD,"$228.60","2021-04-30","$51,620","70%","74%","$323","32%","102%","109%","41.8x","50.7x","34.2x","58.0x","38.4x","28.3x","22.6x","51.9x","46.2x",,"$117,303","39%","181%","-19,392","-6%","-52,936",,"1.3","0.9","1.0","13.2","12.0",,"73785.4",,"104",,,,"26%","14%","45%","$1,211","Reported ARR","$1,190","73%","82%","85%","-10%","60%","$874","$1,319","73%","$712","$999","77%","48%","2021-06-09","156.9x","$50,674","$1,685","$947","292,199","4%","2011","2019","3.6x","94%",,https://www.sec.gov/Archives/edgar/data/1535527/000153552721000013/crwd-20210430.htm
Twilio,TWLO,"$324.10","2021-03-31","$55,971","62%","51%","$-38","-2%","60%","60%","21.8x","25.9x","18.9x","29.2x","20.4x","15.8x","12.7x","40.3x","37.5x","133%","$-10,915","-2%",,"-137,747","-23%","-420,501",,"0.9","0.8","0.5","14.4","25.5","127","12856.2","9.9","10","430","361.0","430.0","30%","19%","36%","$2,359","Revenue * 4","$2,359",,"109%","57%","-33%","28%","$1,761","$2,525","71%","$1,459","$1,986","57%","37%","2021-05-20","-1354.8x","$51,482","$5,707","$4,489","533,442","11%","2008","2016","13.5x","73%","5482",https://www.sec.gov/Archives/edgar/data/1447669/000144766921000126/twlo-20210331.htm
Asana,ASAN,"$45.94","2021-04-30","$7,517","61%","90%","$-67","-26%","34%","51%","24.5x","29.4x",,"33.0x","23.1x","18.0x","13.5x","25.8x",,"115%","$-7,664","-10%",,"-49,009","-64%","-192,748",,"0.6","0.6","0.6","21.0","21.6","23","7646.7","3.0","3",,,,"52%","29%","74%","$306","Revenue * 4","$306","61%","86%","71%","-65%","-4%","$227","$324","58%","$190","$255","57%",,"2021-06-09","-111.8x","$7,492","$386","$25","70,166","9%",,,,"100%",,https://www.sec.gov/Archives/edgar/data/1477720/000147772021000028/asan-20210430.htm
Zscaler,ZS,"$204.91","2021-04-30","$27,947","60%","78%","$126","21%","81%","91%","39.5x","46.3x","33.3x","51.9x","36.7x","27.4x",,"47.1x","42.7x",,"$55,781","32%","425%","-35,776","-20%","-158,445",,"0.7","0.6","0.5","21.1","22.0",,,,,,,,"23%","14%","66%","$705","Revenue * 4","$705","60%","150%","40%","-25%","35%","$536","$759",,"$442","$601","54%","39%","2021-06-03","221.0x","$27,840","$107",,"164,395","7%","2007","2018","7.5x","90%",,
DocuSign,DOCU,"$243.08","2021-04-30","$47,361","58%","78%","$304","19%","77%","84%","25.2x","29.1x","21.9x","32.6x","24.0x","18.6x","15.0x","30.9x","28.3x",,"$123,001","26%","576%","9,300","2%","-65,651",,"0.7","0.7","0.5","18.3","22.5",,,,"1",,,,"18%","11%","51%","$1,876","Subscription Revenue * 4","$1,807","61%","149%","39%","-2%","56%","$1,453","$1,975","79%","$1,188","$1,625","54%","33%","2021-06-08","155.7x","$47,336","$781","$25","434,874","8%","2003","2018","6.4x","90%",,https://www.sec.gov/Archives/edgar/data/1261333/000126133321000108/docu-20210430.htm
Cloudflare,NET,"$93.47","2021-03-31","$29,034","51%","77%","$-64","-13%","38%","50%","53.0x","61.3x","44.3x","67.8x","47.8x","36.1x","28.6x","62.2x","57.7x","123%","$-2,219","-2%",,"-16,036","-12%","-47,909",,"0.8","0.7","0.6","18.2","20.5",,,,,,,,"29%","20%","51%","$552","Revenue * 4","$552","51%","107%","48%","-23%","29%","$431","$612","52%","$365","$477","51%","39%","2021-05-29","-456.9x","$29,239","$187","$-205","131,262","5%","2009","2019","5.2x","100%",,https://www.sec.gov/Archives/edgar/data/1477333/000147733321000026/cloud-20210331.htm
Datadog,DDOG,"$94.50","2021-03-31","$29,142","51%","76%","$108","16%","67%","74%","35.7x","42.3x","29.5x","47.0x","32.1x","23.9x","20.4x","42.0x","38.6x","130%","$44,469","22%","440%","-8,428","-4%","-14,217",,"1.4","1.0","1.1","12.6","11.2",,,,,,,,"40%","11%","32%","$794","Reported ARR","$794","51%","59%","87%","-6%","45%","$603","$882","72%","$524","$670","58%","43%","2021-05-20","262.3x","$28,327","$1,548","$815","186,225","7%","2010","2019","2.3x","80%",,https://www.sec.gov/Archives/edgar/data/1561550/000156155021000007/ddog-20210331.htm
Zoom Info,ZI,"$46.37","2021-03-31","$18,147","50%","82%","$216","41%","91%","108%","30.2x","35.2x","25.7x","38.9x","27.5x","21.8x","17.8x","33.7x","31.5x",,"$88,300","58%","360%","32,800","21%","63,700","294.2x","1.2","0.9","1.0","13.7","12.2",,,,,,,,"13%","12%","32%","$613","Subscription Revenue * 4","$605","50%","57%","87%","18%","68%","$476","$674","90%","$408","$527","55%","37%","2021-05-08","85.8x","$18,532","$354","$-385","145,275","6%",,"2020",,"80%",,https://www.sec.gov/Archives/edgar/data/1794515/000179451521000122/zi-20210331.htm
Palantir,PLTR,"$24.14","2021-03-31","$45,305","49%","78%","$82","7%","56%","83%","31.6x","35.9x","27.6x","39.5x","29.2x","23.1x",,"37.3x","35.3x",,"$116,173","34%",,"-110,777","-32%","-1,204,071",,"0.5","0.5","0.4","23.0","29.6",,"14761900.0",,"9,154",,,,"29%","43%","40%","$1,364","Revenue * 4","$1,364","49%","86%","57%","-33%","15%","$1,092","$1,478","58%","$917","$1,204","46%","30%","2021-05-15","526.4x","$43,163","$2,339","$2,141","332,500","3%",,"2020",,"62%",,https://www.sec.gov/Archives/edgar/data/1321655/000119312521159222/d158374d10q.htm
Bill.com,BILL,"$155.93","2021-03-31","$12,974","45%","74%","$-39","-19%","26%","36%","51.0x","60.1x","45.0x","66.3x","48.0x","37.1x","34.5x","64.7x","60.7x",,"$-5,384","-9%",,"-14,770","-25%","-50,008",,"1.6","1.1","1.2","11.3","10.1",,,,,,,,"37%","37%","25%","$238","Subscription Revenue * 4","$234","63%","98%","46%","-26%","19%","$183","$253",,"$164","$202","37%","33%","2021-05-12","-311.2x","$12,135","$1,736","$838","54,232","10%","2006","2019","4.2x","81%","82627000",https://www.sec.gov/Archives/edgar/data/1786352/000156459021025543/bill-10q_20210331.htm
Elastic N.V.,ESTC,"$135.09","2021-04-30",,"44%","74%","$18","3%","47%","42%",,,,,,,,,,"130%","$-3,062","-2%",,"-32,696","-18%","-112,241",,"1.2","0.6","0.9","19.1","14.0","506","59239.2","8.5","43",,,,"31%","18%","46%","$710","Subscription Revenue * 4","$658","45%","82%","53%","-21%","23%","$554","$721",,"$494","$608","42%","29%","2021-06-08",,,"$401",,"158,732","12%","2012","2018","1.9x","79%",,
HubSpot,HUBS,"$502.43","2021-03-31","$23,476","41%","81%","$122","13%","54%","60%","20.2x","23.6x","17.2x","25.7x","18.4x","14.5x","12.0x","22.8x","21.3x",,"$51,392","18%","198%","-3,824","-1%","-12,202",,"0.9","0.6","0.7","20.7","16.3",,"12873.9",,"9",,,,"24%","11%","50%","$1,125","Subscription Revenue * 4","$1,081","41%","133%","31%","-5%","36%","$883","$1,236","62%","$795","$965","34%","37%","2021-05-14","186.3x","$22,729","$1,180","$747","263,975","7%","2005","2014",,"88%",,https://www.sec.gov/Archives/edgar/data/1404655/000156459021024171/hubs-10q_20210331.htm
Unity,U,"$100.81","2021-03-31","$28,143","41%","75%","$-82","-10%","31%","-2%","28.2x","31.5x","24.7x","34.3x","26.2x","20.3x","15.7x","34.9x","33.0x","140%","$-100,626","-43%",,"-99,070","-42%","-151,587",,"0.8","1.0","0.6","12.0","19.0",,,,,"213","261.0","213.0","66%","27%","30%","$939","Revenue * 4","$939","41%","115%","35%","-47%","-7%","$772","$1,012","24%","$667","$840","44%","27%","2021-05-18","-323.1x","$26,496","$1,647",,"216,200","9%",,,,"59%","4389",https://www.sec.gov/ix?doc=/Archives/edgar/data/1810806/000181080621000103/unity-20210331.htm
Big Commerce,BIGC,"$59.66","2020-09-30","$4,045","41%","78%","$-34","-24%","16%","24%","24.6x","27.8x","21.9x",,"19.7x","16.1x","14.0x","25.2x","28.0x",,"$-6,539","-16%",,"-8,876","-22%","-31,016",,"0.8","0.6","0.6","21.5","18.8",,,,,,,,"31%","25%","49%","$158","Reported ARR","$167","38%","194%","21%","-25%","15%",,"$197","83%","$113","$140","32%","27%","2021-06-03","-114.4x","$3,888","$179","$157","36,191","10%",,,,"42%",,https://www.sec.gov/Archives/edgar/data/1626450/000156459020051982/bigc-10q_20200930.htm
Coupa Software,COUP,"$223.47","2021-04-30","$16,431","40%","52%","$120","20%","60%","58%","24.2x","27.4x","22.4x","29.8x","24.1x","19.4x","15.0x","46.1x","42.9x",,"$29,844","18%","94%","-37,316","-22%","-136,640",,"0.2","0.5","0.1","24.4","146.7",,,,,,,,"26%","24%","47%","$667","Subscription Revenue * 4","$560","33%","86%","47%","-44%","-4%","$541","$670","59%","$476","$589","38%","22%","2021-06-09","134.4x","$16,129","$1,217","$302","152,751","9%","2006","2016","6.4x","60%",,https://www.sec.gov/Archives/edgar/data/1385867/000138586721000019/coup-20210430.htm
Everbridge,EVBG,"$122.37","2021-03-31","$4,608","40%","69%","$2","1%","40%","58%","13.8x","15.3x","11.9x","16.6x","12.7x","10.2x",,"18.3x","17.2x",,"$15,501","19%",,"-7,395","-9%","-33,846",,"0.8","0.5","0.5","22.5","22.1",,"248933.3",,"57",,,,"22%","27%","42%","$328","Revenue * 4","$328","40%","105%","38%","-22%","17%","$271","$356","70%","$235","$294","36%","29%","2021-05-22","2255.9x","$4,512","$735","$97","75,554","9%","2002","2016",,"73%",,https://www.sec.gov/Archives/edgar/data/1437352/000156459021026068/evbg-10q_20210331.htm
nCino,NCNO,"$61.96","2021-04-30",,"39%","58%","$4","2%","41%","51%",,,,,,,,,,,"$7,036","11%",,"-13,379","-21%","-46,028",,"1.3","0.7","0.8","18.0","15.9",,,,,,,,"28%","25%","30%","$249","Subscription Revenue * 4","$204","47%","79%","50%","-25%","15%","$204","$253","91%","$178","$221","44%","23%","2021-06-05",,,"$387",,"59,341","5%",,"2020","0.9x","63%",,https://www.sec.gov/Archives/edgar/data/0001566895/000156689521000020/ncno-20210430.htm
MongoDB,MDB,"$329.52","2021-04-30","$20,476","39%","70%","$-43","-7%","33%","44%","28.6x","32.3x","25.0x","35.1x","27.2x","21.0x","16.7x","38.8x","35.8x",,"$8,391","5%",,"-58,195","-32%","-214,146",,"0.4","0.4","0.3","27.1","39.3",,"48841.5",,"26","254","274.0","264.0","36%","14%","54%","$726","Subscription Revenue * 4","$698","40%","86%","46%","-34%","6%","$590","$763","60%","$521","$641","39%","29%","2021-06-09","-482.2x","$20,734","$935","$-257","168,974","8%","2007","2017","10.0x","78%","2745",https://www.sec.gov/Archives/edgar/data/1441816/000144181621000095/mdb-20210430.htm
Slack,WORK,"$44.46","2020-10-31","$25,618","39%","86%","$46","6%","45%","53%","26.5x","29.8x","22.5x",,"21.4x","17.1x","14.2x","24.9x","26.1x","123%","$32,604","14%",,"-58,110","-25%","-273,734",,"0.7","0.5","0.6","22.0","20.4","58",,,"6","373","426.0","373.0","41%","22%","51%","$937","Revenue * 4","$937",,"65%","60%","-28%","11%",,"$1,159","61%","$674","$833","46%","33%","2021-05-27","540.2x","$24,848","$2,051","$770","223,480","5%","2009","2019","1.2x","100%","2510",https://www.sec.gov/ix?doc=/Archives/edgar/data/1764925/000176492520000652/work-20201031.htm
Avalara,AVLR,"$135.50","2021-03-31","$11,649","38%","71%","$14","3%","40%","17%","17.9x","20.3x","16.1x","22.0x","16.9x","13.8x","11.3x","23.8x","22.7x","107%","$-31,924","-21%",,"-18,310","-12%","-44,456",,"0.6","0.6","0.4","19.8","28.6","240","86607.2","2.8","39",,,,"25%","20%","42%","$614","Revenue * 4","$614",,"121%","31%","-17%","21%","$500","$651",,"$445","$542","33%","26%","2021-06-02","786.4x","$11,010","$639",,"142,908","7%","1999","2018","3.9x","74%",,https://www.sec.gov/Archives/edgar/data/0001348036/000156459021025131/avlr-10q_20210331.htm
JFrog,FROG,"$45.72","2021-03-31","$4,276","37%","81%","$36","22%","59%","54%","20.4x","22.5x","16.9x","24.5x","18.2x","13.9x","11.4x","22.3x","20.8x","130%","$7,676","17%",,"-9,606","-21%","-18,898",,"0.5","0.7","0.4","17.9","28.0",,,,,,,,"31%","30%","44%","$180","Subscription Revenue * 4","$180","37%","68%","55%","-24%","14%","$150","$202","63%","$131","$163","41%","33%","2021-05-12","101.9x","$3,670","$606",,"44,806","1%",,"2020","1.1x","53%",,https://www.sec.gov/Archives/edgar/data/1800667/000095017021000141/frog-20210331.htm
Okta,OKTA,"$222.12","2021-04-30","$29,449","37%","74%","$133","15%","52%","58%","28.4x","31.6x","21.4x","34.2x","24.2x","17.5x","13.1x","32.9x","29.0x","120%","$52,806","21%","156%","-77,547","-31%","-198,108",,"0.6","0.5","0.4","25.3","28.8","804","177189.2","4.5","90",,,,"27%","24%","58%","$1,004","Subscription Revenue * 4","$960","38%","81%","46%","-36%","1%","$835","$1,178","84%","$731","$903","40%","48%","2021-06-03","214.5x","$28,531","$2,690","$918","238,556","5%","2009","2017","9.4x","77%",,https://www.sec.gov/Archives/edgar/data/1660134/000166013421000011/okta-4302021_ex991.htm
Smartsheet,SMAR,"$63.99","2021-04-30","$8,006","37%","77%","$-12","-3%","34%","30%","16.2x","18.1x","13.9x","19.7x","15.1x","11.7x","8.9x","19.5x","17.9x","125%","$-8,198","-7%",,"-36,090","-31%","-119,757",,"0.5","0.4","0.4","28.2","33.6",,,,,,,,"31%","18%","61%","$468","Reported ARR","$432","40%","71%","52%","-33%","4%","$385","$501","82%","$341","$417","39%","31%","2021-06-08","-630.5x","$7,566","$440",,"111,595","5%","2005","2018","3.5x","76%",,https://www.sec.gov/Archives/edgar/data/1366561/000136656121000069/smar-20210430.htm
Fastly,FSLY,"$53.91","2021-03-31","$6,237","35%","56%","$-28","-9%","26%","11%","17.9x","19.5x","14.9x","20.9x","15.9x","12.5x","9.9x","28.4x","26.8x","139%","$-19,937","-23%",,"-38,181","-45%","-118,153",,"0.3","1.0","0.1","12.5","84.8","2,284","282642.3","8.1","153",,,,"34%","39%","41%","$339","Revenue * 4","$339","35%","91%","38%","-59%","-24%","$290","$383","74%","$251","$312","44%","30%","2021-05-11","-216.8x","$6,071","$1,097","$166","85,145","-0%","2011","2019","2.5x","42%",,https://www.sec.gov/Archives/edgar/data/1517413/000151741321000069/fsly-20210331.htm
Ringcentral,RNG,"$268.00","2021-03-31","$24,354","32%","72%","$-107","-8%","23%","38%","17.9x","19.9x","16.0x","21.4x","16.8x","13.6x","11.0x","23.2x","22.0x","99%","$23,189","7%",,"-17,434","-5%","-46,119",,"0.4","0.4","0.3","28.5","37.6",,,,,,,,"18%","16%","51%","$1,409","Subscription Revenue * 4","$1,300","34%","97%","33%","-12%","20%","$1,183","$1,506",,"$1,070","$1,268","31%","25%","2021-05-13","-236.2x","$25,279","$463","$-925","339,698","4%","1999","2013",,"60%",,https://www.sec.gov/Archives/edgar/data/1384905/000138490521000019/rng-20210331.htm
ServiceNow,NOW,"$489.13","2021-03-31","$96,554","30%","78%","$1,660","34%","64%","76%","17.4x","19.6x","15.7x","21.0x","16.5x","13.3x","10.7x","21.2x","20.1x",,"$620,000","46%","56%",,,,,"0.8","0.5","0.6","23.0","18.7",,,,,,,,"23%","9%","39%","$5,440","Subscription Revenue * 4","$5,172","30%","92%","33%","7%","37%","$4,519","$5,723","65%","$4,185","$4,833","30%","25%","2021-05-01","57.1x","$94,709","$3,456","$1,845","1,335,584","2%","2004","2012",,"82%",,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000114/now-20210331.htm
Veeva Systems,VEEV,"$294.98","2021-04-30","$45,108","29%","73%","$735","47%","76%","138%","24.8x","27.5x","22.7x","29.3x","24.0x","20.2x","17.0x","32.8x","31.0x",,"$475,729","110%","53%","135,074","31%","446,880","96.3x","2.4","1.2","1.7","10.2","6.9",,,,,,,,"19%","9%","15%","$1,734","Subscription Revenue * 4","$1,364","26%","76%","38%","30%","58%","$1,465","$1,791","57%","$1,348","$1,561","31%","21%","2021-06-03","58.4x","$42,958","$2,150",,"409,431","6%","2007","2013",,"93%",,https://www.sec.gov/Archives/edgar/data/1393052/000139305221000028/veev-20210430.htm
Duck Creek Technologies,DCT,"$38.76","2021-02-28","$5,100","19%","56%","$8","3%","22%","16%","18.9x","20.3x","17.5x","21.1x","17.9x","15.3x",,"31.9x","31.2x","121%","$-1,619","-3%","100%","-1,062","-2%","-15,951",,"1.2","0.4","0.7","28.1","18.0",,,,,,,,"20%","23%","23%","$250","Subscription Revenue * 4","$122","51%",,,"-10%","8%","$224","$265","90%","$211","$233","19%","16%","2021-04-08","592.1x","$4,736","$364",,"59,135","6%",,,,"65%",,https://www.sec.gov/Archives/edgar/data/1160951/000156459021018490/dct-10q_20210228.htm
Sumo Logic,SUMO,"$21.49","2021-04-30","$2,295","15%","72%","$-41","-20%","-5%","9%","9.3x","9.6x","8.1x","9.9x","8.7x","7.2x","6.2x","12.1x","11.3x","115%","$-2,966","-5%",,"-24,426","-45%","-72,366",,"0.0","0.2","0.0","62.3","1791.9",,,,,,,,"38%","27%","56%","$216","Revenue * 4","$216","15%","33%","45%","-49%","-34%","$202","$231","84%","$188","$209","24%","18%","2021-06-09","-48.9x","$2,005","$291",,"53,762","1%",,"2020","1.0x","53%",,https://www.sec.gov/Archives/edgar/data/1643269/000164326921000014/sumo-20210430.htm
Agora,API,"$44.66","2021-03-31",,"13%","58%","$-9","-7%","7%","-7%",,,,,,,,,,"131%","$-7,975","-20%",,"-13,906","-35%","-18,648",,"3.7",,"2.2",,"5.5","821","32476.0","25.3","68",,,,"63%","14%","22%","$160","Revenue * 4","$160","13%","8%","166%","-40%","-27%","$133","$182",,"$142","$138","60%",,,,,"$877","$876",,,,"2020",,"42%",,
Median,,"$135.09",,"$24,986","41%","74%","$16","3%","49%","58%","25.0x","29.3x","22.4x","32.8x","24.0x","18.6x","14.6x","32.8x","31.3x","125%","$8,391","7%","189%",,"-21%",,"201.4x","0.8","0.6","0.6","20.0","20.9",,"66512.3","8.3",,,"317.5","292.5","28%","20%","45%","$710",,"$658","45%","86%","47%","-25%","20%","$554","$759","70%","$459","$607","44%","31%",,"85.8x","$25,063","$877","$524",,"6%",,,"4.2x","77%",,
Mean,,"$194.24",,"$32,717","52%","72%","$167","6%","57%","63%","28.2x","32.9x","24.8x","36.9x","25.8x","20.3x","15.9x","36.7x","35.0x","126%","$64,545","11%","249%",,"-20%",,"226.1x","1.0","0.8","0.7","19.9","77.7",,"1157438.1","9.7",,,"296.9","327.6","30%","21%","45%","$1,069",,"$942","48%","97%","59%","-23%","29%","$857","$1,184","69%","$679","$928","57%","33%",,"88.9x","$31,597","$1,535","$669",,"6%",,,"6.9x","74%",,
